Values of DeltaT = ET - UT
at 0h UT of the date (specified as day, month, year)
from  The Astronomical Almanac 1999, pages K8-9 http://maia.usno.navy.mil/ser7/deltat.data
----------------------------------------------
 1 10 1976  47.2362
 1 11 1976  47.3413
 1 12 1976  47.4319
 1  1 1977  47.5214
 1  2 1977  47.6049
 1  3 1977  47.6837
 1  4 1977  47.7781
 1  5 1977  47.8771
 1  6 1977  47.9687
 1  7 1977  48.0348
 1  8 1977  48.0942
 1  9 1977  48.1608
 1 10 1977  48.2460
 1 11 1977  48.3439
 1 12 1977  48.4355
 1  1 1978  48.5344
 1  2 1978  48.6325
 1  3 1978  48.7294
 1  4 1978  48.8365
 1  5 1978  48.9353
 1  6 1978  49.0319
 1  7 1978  49.1013
 1  8 1978  49.1591
 1  9 1978  49.2286
 1 10 1978  49.3070
 1 11 1978  49.4018
 1 12 1978  49.4945
 1  1 1979  49.5862
 1  2 1979  49.6805
 1  3 1979  49.7602
 1  4 1979  49.8556
 1  5 1979  49.9489
 1  6 1979  50.0347
 1  7 1979  50.1019
 1  8 1979  50.1622
 1  9 1979  50.2260
 1 10 1979  50.2968
 1 11 1979  50.3831
 1 12 1979  50.4599
 1  1 1980  50.5387
 1  2 1980  50.6161
 1  3 1980  50.6866
 1  4 1980  50.7658
 1  5 1980  50.8454
 1  6 1980  50.9187
 1  7 1980  50.9761
 1  8 1980  51.0278
 1  9 1980  51.0843
 1 10 1980  51.1538
 1 11 1980  51.2319
 1 12 1980  51.3063
 1  1 1981  51.3808
 1  2 1981  51.4526
 1  3 1981  51.5160
 1  4 1981  51.5985
 1  5 1981  51.6809
 1  6 1981  51.7573
 1  7 1981  51.8133
 1  8 1981  51.8532
 1  9 1981  51.9014
 1 10 1981  51.9603
 1 11 1981  52.0328
 1 12 1981  52.0985
 1  1 1982  52.1668
 1  2 1982  52.2316
 1  3 1982  52.2938
 1  4 1982  52.3680
 1  5 1982  52.4465
 1  6 1982  52.5180
 1  7 1982  52.5752
 1  8 1982  52.6178
 1  9 1982  52.6668
 1 10 1982  52.7340
 1 11 1982  52.8056
 1 12 1982  52.8792
 1  1 1983  52.9565
 1  2 1983  53.0445
 1  3 1983  53.1268
 1  4 1983  53.2197
 1  5 1983  53.3024
 1  6 1983  53.3747
 1  7 1983  53.4335
 1  8 1983  53.4778
 1  9 1983  53.5300
 1 10 1983  53.5845
 1 11 1983  53.6523
 1 12 1983  53.7256
 1  1 1984  53.7882
 1  2 1984  53.8367
 1  3 1984  53.8830
 1  4 1984  53.9443
 1  5 1984  54.0042
 1  6 1984  54.0536
 1  7 1984  54.0856
